S. No.,Year,Region,Category,Motor Cycles,Scooters,Moped,Cars,Jeeps,Stn. Wagons,Taxis meter fited,Luxury /Turist Cabs/,Auto-rikshaws,Stage carriages,Contract carriages /Mini Bus,School Buses,Private Service Vehicles,Ambulances,Articulated/Multi.,Trucks & Lorries,Tanker,Delivery Van (4 wheelers),Delivery Van (3 wheelers),Tractors,Trailors,Others
179,2003,Aurangabad Region,Aurangabad,20762,3126,28,1934,632,1,1,0,1978,672,9,27,22,8,0,352,38,424,625,422,13,0
180,2003,Aurangabad Region,Jalna,7541,328,36,287,298,0,0,0,120,0,1,2,1,3,0,69,0,107,189,374,198,0
181,2003,Aurangabad Region,Beed,5240,50,368,308,373,0,0,0,252,0,0,2,0,0,0,71,3,51,233,96,61,0
182,2003,Latur Region,Latur,5147,127,1059,555,269,0,25,0,411,0,4,0,2,2,4,76,0,68,460,134,49,0
183,2003,Latur Region,Osmanabad,2545,7,230,121,100,0,22,0,215,0,3,0,0,0,0,33,0,142,106,51,73,2
184,2003,Latur Region,Ambejogai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
185,2003,Nanded Region,Nanded,7100,150,716,610,382,0,0,0,1180,0,0,0,0,10,1,168,0,68,0,212,78,0
186,2003,Nanded Region,Parbhani,4284,10,465,209,195,0,0,0,474,0,0,0,0,21,0,38,2,35,47,90,87,3
187,2003,Nanded Region,Hingoli,2245,15,125,122,100,0,0,0,178,0,6,0,4,14,0,18,1,115,27,221,81,0
188,2003,Amrawati Region,Amrawati,11659,1025,2882,657,162,2,71,0,997,0,10,2,3,3,0,136,1,92,342,458,198,1
189,2003,Amrawati Region,Buldhana,9059,121,1134,336,263,0,101,0,688,0,0,1,13,31,0,106,1,133,248,281,106,1
190,2003,Amrawati Region,Yawatmal,7241,414,1257,469,277,0,96,0,880,0,5,3,0,20,41,138,0,103,240,195,163,2
191,2003,Amrawati Region,Akola,6122,408,2065,514,120,0,50,0,565,14,0,2,0,14,0,90,1,84,194,71,44,0
192,2003,Amrawati Region,Washim,3222,37,406,149,112,1,22,0,423,0,0,0,0,7,0,27,1,37,119,164,89,1
193,2003,Nagpur(U) Region,Nagpur,27410,5871,12019,4839,629,0,39,0,508,0,1,42,290,15,457,726,11,476,683,191,84,28
194,2003,Nagpur(U) Region,Wardha,5087,353,1072,196,88,0,3,0,285,0,5,1,0,0,0,7,0,41,140,56,60,1
195,2003,Nagpur(U) Region,Nagpur(East),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
196,2003,Nagpur(R) Region,Nagpur,3749,129,598,98,55,0,8,0,95,0,0,0,54,0,33,49,0,147,26,138,61,1
197,2003,Nagpur(R) Region,Gadchiroli,2255,231,40,65,41,0,11,0,37,0,0,0,0,8,0,11,0,21,6,50,22,0
198,2003,Nagpur(R) Region,Chandrapur,10472,1015,1993,857,245,5,87,0,356,0,11,0,2,25,10,506,0,171,257,184,125,24
199,2003,Nagpur(R) Region,Gondia,4073,304,630,165,57,0,20,0,25,0,0,1,0,3,0,46,0,46,25,88,70,0
200,2003,Nagpur(R) Region,Bhandara,4299,40,983,120,68,2,30,0,86,0,0,0,0,2,1,32,0,31,45,193,139,6
201,2004,Greater Mumbai,Mumbai(C),13306,4451,5,11046,612,0,953,0,0,231,233,0,52,42,1,229,0,543,455,0,1,87
202,2004,Greater Mumbai,Mumbai(W),23959,10566,0,16226,519,0,801,,5320,0,194,286,27,52,0,24,1,189,2235,9,0,40
203,2004,Greater Mumbai,Mumbai€,12982,2095,192,4795,0,0,225,,2505,0,46,48,47,8,0,0,0,242,824,0,0,3
204,2004,Greater Mumbai,Borivali,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205,2004,Thane Region,Thane,31599,6944,149,23084,1406,0,3844,,2174,0,2983,48,61,78,720,6497,1283,5354,4292,61,33,1
206,2004,Thane Region,Kalyan,16988,1068,0,1778,253,0,137,,1754,0,28,0,2,11,1,158,29,209,528,17,17,17
207,2004,Thane Region,Vashi Navi Mumbai,9643,411,0,5412,1856,0,643,,391,17,710,0,97,31,335,1131,0,724,354,0,29,0
208,2004,Thane Region,Vasai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
209,2004,Panvel Region,Panvel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210,2004,Panvel Region,Pen-Raigad,13634,1935,0,5288,1210,6,471,,359,10,46,6,28,44,1260,1584,123,1103,349,69,25,403
211,2004,Panvel Region,Ratnagiri,7176,895,0,692,180,0,34,,301,0,14,1,0,20,0,123,2,270,226,17,34,29
212,2004,Panvel Region,Sindhudurg,4288,418,364,331,108,1,3,,476,0,3,1,3,24,0,81,2,87,109,16,10,2
213,2004,Kolhapur Region,Kolhapur,27448,819,593,2293,460,0,33,,222,47,27,1,9,42,0,299,41,152,648,279,247,31
214,2004,Kolhapur Region,Sangli,13158,1128,1926,1239,280,23,69,,242,0,5,2,4,42,0,232,13,302,523,283,142,9
215,2004,Kolhapur Region,Satara,14637,483,1132,1230,329,0,129,,368,21,7,6,2,31,2,433,2,443,531,309,174,24
216,2004,Kolhapur Region,Karad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
217,2004,Pune Region,Pune,59381,16690,8115,17914,1797,0,1366,,2574,291,914,80,11,63,0,1543,130,774,1129,303,151,53
218,2004,Pune Region,Solapur,14152,1038,1647,707,354,0,58,,200,0,9,0,0,37,0,179,0,539,201,141,87,3
219,2004,Pune Region,Pimpri-Chinchwad,31222,3553,2734,5247,836,0,861,,335,118,169,0,35,15,0,636,5,787,1053,272,67,55
220,2004,Pune Region,Baramati,8490,225,156,430,151,0,19,,104,0,15,0,18,2,0,199,4,434,257,261,175,8
221,2004,Pune Region,Akluj,4754,0,0,296,40,0,22,,37,0,0,0,0,3,0,38,0,240,38,148,53,42
222,2004,Nashik Region,Nashik,31754,4063,1798,3471,1062,0,36,,669,0,14,21,9,53,2,189,23,1438,330,1049,77,31
223,2004,Nashik Region,Ahmednagar,16196,1010,1075,865,381,0,60,,157,25,3,5,6,21,19,182,23,389,376,242,148,188
224,2004,Nashik Region,Srirampur,14624,223,1871,715,231,0,171,,224,1,0,6,3,6,0,137,15,344,604,460,218,33
225,2004,Nashik Region,Malegaon,9324,2,113,657,48,1,68,,543,0,9,7,4,1,0,107,7,323,221,626,425,8
226,2004,Dhule Region,Dhule,6283,257,933,888,181,1,215,,492,1,4,3,28,6,0,491,0,168,271,390,277,1
227,2004,Dhule Region,Jalgaon,21442,2073,1107,1286,413,16,228,,329,0,7,5,710,57,0,296,9,124,717,613,403,29
228,2004,Dhule Region,Nandurbar,4689,45,674,227,161,0,14,,48,0,9,1,0,2,0,88,9,76,171,781,544,78
229,2004,Aurangabad Region,Aurangabad,23911,3158,17,1740,394,1,0,,1371,621,25,1,9,19,0,78,10,302,607,564,505,20
230,2004,Aurangabad Region,Jalna,7263,392,94,364,270,0,0,,98,0,0,7,2,0,0,59,1,67,205,393,191,2
231,2004,Aurangabad Region,Beed,4676,20,327,295,447,0,0,,188,0,2,0,2,0,0,35,0,56,125,118,72,1
232,2004,Latur Region,Latur,6220,204,921,581,300,0,64,,380,0,6,0,0,1,5,71,0,331,72,255,75,6
233,2004,Latur Region,Osmanabad,3375,1,169,175,132,0,77,,327,0,2,1,1,1,0,43,4,65,149,79,56,19
234,2004,Latur Region,Ambejogai,1329,7,75,91,86,0,0,,108,0,0,0,0,0,0,29,3,11,95,77,11,0
235,2004,Nanded Region,Nanded,7640,115,667,425,332,0,33,,940,0,0,0,0,0,0,153,1,80,150,168,100,0
236,2004,Nanded Region,Parbhani,4732,15,426,234,194,2,55,,266,0,0,0,0,11,3,41,1,47,92,152,73,0
237,2004,Nanded Region,Hingoli,1926,13,81,112,88,0,5,,135,7,0,0,0,8,0,2,0,80,53,179,86,0
238,2004,Amrawati Region,Amrawati,12189,1712,2495,980,167,0,60,,841,5,30,3,0,23,0,130,4,94,244,281,131,6
239,2004,Amrawati Region,Buldhana,9218,150,1075,314,160,0,179,,521,0,0,20,8,8,0,68,5,59,223,411,179,4
240,2004,Amrawati Region,Yawatmal,7039,599,1276,520,175,0,47,,653,0,8,1,0,10,1,76,0,97,182,162,82,3
241,2004,Amrawati Region,Akola,6888,778,1544,657,97,0,70,,396,4,6,3,4,15,0,76,5,76,184,104,47,1
242,2004,Amrawati Region,Washim,2918,47,397,185,78,0,18,,269,0,1,6,0,12,0,12,3,18,82,150,64,2
243,2004,Nagpur(U) Region,Nagpur,23196,4773,11119,4612,1057,0,27,,397,0,15,33,135,10,180,673,1,402,427,24,16,15
244,2004,Nagpur(U) Region,Wardha,5519,668,1310,226,121,0,2,,96,0,2,1,2,1,0,14,3,57,106,126,78,1
245,2004,Nagpur(U) Region,Nagpur(East),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
246,2004,Nagpur(R) Region,Nagpur,8140,969,2504,390,121,0,40,,150,0,3,2,63,3,33,268,1,263,213,344,143,8
247,2004,Nagpur(R) Region,Gadchiroli,2193,231,117,100,51,0,19,,63,0,0,0,7,16,0,19,0,20,4,41,25,0
248,2004,Nagpur(R) Region,Chandrapur,12042,1186,1999,905,449,0,52,,240,0,4,4,5,21,16,531,0,191,221,310,153,18
249,2004,Nagpur(R) Region,Gondia,5725,158,297,269,77,0,15,,56,0,2,1,0,1,4,52,0,38,22,147,109,0
250,2004,Nagpur(R) Region,Bhandara,4541,15,646,171,39,0,10,,59,0,2,0,2,21,7,23,0,33,35,239,140,0
251,2005,Greater Mumbai,Mumbai(C),14366,4460,0,11803,101,0,512,0,0,863,90,2,49,40,1,75,5,557,456,2,2,78
252,2005,Greater Mumbai,Mumbai(W),24902,10825,0,20519,1461,0,966,0,3966,0,188,72,63,52,242,0,0,580,2031,31,5,86
253,2005,Greater Mumbai,Mumbai€,15569,1849,254,5754,0,0,308,0,2531,0,46,30,27,8,0,0,0,264,1131,0,0,6
254,2005,Greater Mumbai,Borivali,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
255,2005,Thane Region,Thane,35390,6618,76,13795,198,845,2838,0,2801,0,1909,0,142,17,401,3525,662,2730,3290,49,18,0
256,2005,Thane Region,Kalyan,20220,371,0,2258,168,0,290,0,1463,0,29,0,7,14,0,156,30,250,584,35,9,14
257,2005,Thane Region,Vashi Navi Mumbai,11201,2144,5,4455,25,0,885,0,892,0,94,0,46,6,10,1094,210,864,966,20,0,0
258,2005,Thane Region,Vasai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
259,2005,Panvel Region,Panvel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260,2005,Panvel Region,Pen-Raigad,18276,1567,0,8504,1147,0,1033,0,381,0,51,9,51,40,1100,1706,66,1358,541,75,95,633
261,2005,Panvel Region,Ratnagiri,7224,579,0,843,161,0,46,0,443,0,6,0,0,8,0,160,0,273,279,7,13,23
262,2005,Panvel Region,Sindhudurg,4799,576,316,338,108,0,8,0,457,0,8,4,2,6,0,104,4,181,62,31,25,4
263,2005,Kolhapur Region,Kolhapur,27867,17,2,2264,483,0,57,0,275,0,30,2,6,7,0,357,59,122,922,603,588,58
264,2005,Kolhapur Region,Sangli,15314,1030,1260,1477,321,0,53,0,315,0,3,6,3,9,0,279,7,463,458,538,366,11
265,2005,Kolhapur Region,Satara,17056,509,716,1518,306,0,185,0,568,15,21,6,5,7,0,670,13,647,496,738,423,31
266,2005,Kolhapur Region,Karad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
267,2005,Pune Region,Pune,69541,15690,9842,21059,2501,1,1310,0,3016,436,317,30,69,45,0,1884,77,1774,1458,338,10,275
268,2005,Pune Region,Solapur,14163,1253,1565,988,262,0,31,0,204,0,8,0,6,5,0,154,7,386,406,302,252,3
269,2005,Pune Region,Pimpri-Chinchwad,34752,6318,221,6533,790,0,802,0,384,93,216,0,1,13,6,730,0,913,1737,530,205,107
270,2005,Pune Region,Baramati,11191,117,1,506,183,0,45,0,166,0,14,1,8,6,0,223,17,402,246,560,715,20
271,2005,Pune Region,Akluj,6640,4,0,472,203,0,15,0,98,0,0,1,0,2,0,88,6,233,158,470,318,6
272,2005,Nashik Region,Nashik,32168,4647,585,5240,1229,0,90,0,655,2,22,14,29,17,1,222,14,1487,194,1497,524,166
273,2005,Nashik Region,Ahmednagar,16954,780,998,861,280,0,293,0,176,0,2,2,2,3,0,235,20,511,511,417,219,193
274,2005,Nashik Region,Srirampur,14070,428,602,744,184,0,259,0,224,0,1,16,2,4,0,126,30,361,425,615,251,29
275,2005,Nashik Region,Malegaon,10824,200,163,644,51,0,192,0,444,44,2,7,0,6,0,139,17,332,188,664,542,4
276,2005,Dhule Region,Dhule,7289,160,915,827,213,3,141,0,386,0,12,9,4,4,353,2,2,117,282,371,309,5
277,2005,Dhule Region,Jalgaon,19328,1793,907,1498,297,0,299,0,690,0,7,4,218,12,0,374,5,277,511,765,446,24
278,2005,Dhule Region,Nandurbar,5702,0,2,278,110,75,27,0,168,0,0,4,1,5,0,43,0,64,171,516,329,0
279,2005,Aurangabad Region,Aurangabad,25239,2345,1,2189,362,0,0,0,1328,403,24,2,64,9,0,164,27,268,848,625,263,55
280,2005,Aurangabad Region,Jalna,7447,327,0,412,228,0,42,0,102,0,0,2,0,3,0,93,0,90,238,472,202,5
281,2005,Aurangabad Region,Beed,4033,27,282,207,201,0,0,0,248,0,0,0,1,0,0,35,0,26,159,190,118,2
282,2005,Latur Region,Latur,7436,360,1002,839,302,0,70,0,391,0,0,3,2,3,0,108,0,54,667,627,155,6
283,2005,Latur Region,Osmanabad,4868,17,61,182,82,0,47,0,316,0,2,3,0,2,0,89,4,119,144,366,116,21
284,2005,Latur Region,Ambejogai,2718,3,170,202,152,0,0,0,393,0,0,0,0,0,0,107,0,61,185,233,51,0
285,2005,Nanded Region,Nanded,7608,55,731,584,192,0,16,0,887,0,6,0,0,1,0,248,4,88,295,196,84,0
286,2005,Nanded Region,Parbhani,4776,41,253,268,135,0,30,0,295,0,3,1,0,2,30,99,1,43,213,269,83,2
287,2005,Nanded Region,Hingoli,2482,0,4,129,47,0,3,0,166,0,5,0,0,1,0,7,2,57,70,201,163,2
288,2005,Amrawati Region,Amrawati,12706,987,2455,951,94,0,32,0,561,8,20,2,0,7,0,177,5,160,218,262,122,6
289,2005,Amrawati Region,Buldhana,7081,122,710,321,154,3,65,0,796,2,0,8,0,5,0,185,4,165,217,389,170,11
290,2005,Amrawati Region,Yawatmal,,654,1461,550,105,0,27,0,682,0,20,4,1,4,14,131,5,185,156,350,167,1
291,2005,Amrawati Region,Akola,,714,1398,617,179,0,91,0,458,3,4,7,1,3,0,74,0,124,117,128,53,6
292,2005,Amrawati Region,Washim,3040,95,355,181,62,0,9,0,268,0,7,0,0,3,0,28,1,80,64,191,99,0
293,2005,Nagpur(U) Region,Nagpur,24898,9377,11636,5353,1804,133,164,0,371,0,46,21,10,16,20,690,7,342,442,37,12,254
294,2005,Nagpur(U) Region,Wardha,7248,95,1285,284,73,0,1,0,267,0,5,0,0,1,0,44,0,139,122,234,103,3
295,2005,Nagpur(U) Region,Nagpur(East),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
296,2005,Nagpur(R) Region,Nagpur,7471,4383,3648,541,85,0,38,0,313,37,10,24,1,8,9,439,6,286,172,465,140,5
297,2005,Nagpur(R) Region,Gadchiroli,2397,259,10,114,50,0,2,0,107,0,5,1,7,3,0,10,0,27,14,134,84,0
298,2005,Nagpur(R) Region,Chandrapur,10794,1028,1913,1043,156,0,37,0,714,0,11,15,5,8,6,588,3,290,146,398,176,16
299,2005,Nagpur(R) Region,Gondia,5070,378,539,219,62,0,0,0,74,0,6,6,3,7,0,50,20,80,23,188,109,2
300,2005,Nagpur(R) Region,Bhandara,4957,0,836,263,44,0,6,0,159,0,3,3,18,4,33,65,3,89,64,416,206,1
301,2006,Greater Mumbai,Mumbai(C),16830,4838,0,12722,125,0,844,0,0,315,95,4,16,33,0,216,3,608,479,0,0,42
302,2006,Greater Mumbai,Mumbai(W),30310,10300,0,21085,1504,0,1380,0,3558,0,163,81,43,30,0,480,0,750,2177,29,2,121
303,2006,Greater Mumbai,Mumbai€,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
304,2006,Greater Mumbai,Borivali,17939,2459,286,6377,0,0,306,0,2060,0,15,36,33,12,0,0,1,335,1128,0,1,74
305,2006,Thane Region,Thane,43595,6905,71,24206,164,1996,2340,0,3241,275,572,60,117,16,338,5201,883,3095,3912,39,161,131
306,2006,Thane Region,Kalyan,19223,5522,0,2528,138,0,289,0,865,0,3,27,7,19,0,258,23,205,947,61,18,31
307,2006,Thane Region,Vashi Navi Mumbai,14262,930,0,8082,342,196,1010,0,516,0,131,0,6,4,43,1316,204,1144,2167,11,347,19
308,2006,Thane Region,Vasai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
309,2006,Panvel Region,Panvel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
310,2006,Panvel Region,Pen-Raigad,24879,1317,0,6793,950,0,1038,0,514,0,38,25,35,42,0,1775,121,914,857,117,1996,511
311,2006,Panvel Region,Ratnagiri,5108,3835,0,1092,45,0,102,0,678,0,24,1,0,9,0,211,15,300,371,16,17,19
312,2006,Panvel Region,Sindhudurg,4834,728,213,424,118,0,8,0,535,0,4,2,5,1,0,198,0,170,61,21,13,14
313,2006,Kolhapur Region,Kolhapur,29127,1370,684,2373,568,0,80,0,272,8,46,9,3,6,0,648,28,382,668,797,937,71
314,2006,Kolhapur Region,Sangli,18975,1209,995,1465,290,55,65,0,323,0,2,12,4,8,0,558,4,524,682,571,625,28
315,2006,Kolhapur Region,Satara,19824,1093,1351,1506,527,0,454,0,555,0,18,17,5,8,0,1041,19,789,736,977,802,49
316,2006,Kolhapur Region,Karad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
317,2006,Pune Region,Pune,76850,13400,14156,25088,3519,1,2887,0,3753,10,753,33,63,46,0,1973,97,2215,1930,864,78,687
318,2006,Pune Region,Solapur,17699,1311,1274,952,235,0,101,0,91,11,5,3,13,7,36,373,72,441,679,560,445,51
319,2006,Pune Region,Pimpri-Chinchwad,39936,7687,355,7979,812,0,1602,0,219,50,219,0,2,26,0,1283,5,1190,2026,588,328,170
320,2006,Pune Region,Baramati,12332,299,0,653,216,0,81,0,61,0,5,1,8,4,0,541,18,447,378,779,1251,35
321,2006,Pune Region,Akluj,10268,1,1,481,309,9,73,0,113,43,20,2,3,3,0,109,0,251,383,799,722,23
322,2006,Nashik Region,Nashik,34851,8373,90,4770,1265,0,205,0,657,52,26,13,19,14,2,620,61,1312,294,1266,190,60
323,2006,Nashik Region,Ahmednagar,19157,898,793,978,263,0,274,0,101,15,7,0,5,10,1,489,32,606,640,645,503,338
324,2006,Nashik Region,Srirampur,14934,563,525,776,181,0,138,0,374,0,1,12,4,12,0,357,54,482,651,723,366,23
325,2006,Nashik Region,Malegaon,11321,232,143,494,65,0,126,0,473,0,2,12,1,0,0,478,17,285,98,688,593,0
326,2006,Dhule Region,Dhule,7666,250,903,637,150,22,233,0,552,0,2,6,5,1,0,1432,1,145,261,409,311,12
327,2006,Dhule Region,Jalgaon,19821,2792,362,1334,171,6,247,0,397,4,0,1,572,6,0,649,1,162,597,960,503,13
328,2006,Dhule Region,Nandurbar,5767,0,1,290,109,287,30,0,22,7,0,5,0,2,0,115,1,95,195,527,309,11
329,2006,Aurangabad Region,Aurangabad,28964,2024,0,1790,492,0,0,0,1307,633,43,24,60,27,0,166,18,375,1281,742,347,7
330,2006,Aurangabad Region,Jalna,7108,654,14,559,292,0,0,0,159,0,0,16,16,6,0,111,2,239,618,461,184,0
331,2006,Aurangabad Region,Beed,4122,56,345,193,309,0,0,0,420,0,0,0,0,0,0,28,0,64,305,212,94,4
332,2006,Latur Region,Latur,9708,507,1197,958,225,0,38,0,438,0,9,2,0,15,0,352,0,91,594,791,440,3
333,2006,Latur Region,Osmanabad,4676,88,53,220,53,0,32,0,531,0,0,21,0,0,0,68,30,404,469,255,103,0
334,2006,Latur Region,Ambejogai,2740,13,337,222,168,0,0,0,497,0,0,0,0,0,0,128,0,76,279,293,166,3
335,2006,Nanded Region,Nanded,9978,219,601,585,291,16,54,0,1135,0,2,2,0,13,0,575,0,93,327,303,195,2
336,2006,Nanded Region,Parbhani,6886,66,282,327,108,0,22,0,489,0,1,1,1,9,52,147,8,18,176,536,387,58
337,2006,Nanded Region,Hingoli,3349,0,6,144,62,0,4,0,219,0,6,0,0,2,0,20,1,48,71,304,201,13
338,2006,Amrawati Region,Amrawati,16322,1354,2274,962,137,0,50,0,846,20,10,1,0,12,0,331,0,207,270,347,156,5
339,2006,Amrawati Region,Buldhana,11620,524,685,250,150,0,42,0,1138,0,2,22,0,2,0,393,4,233,316,541,172,6
340,2006,Amrawati Region,Yawatmal,9079,1005,1265,558,158,0,40,0,1134,0,8,3,0,3,228,196,0,279,268,592,392,7
341,2006,Amrawati Region,Akola,10903,1345,1193,612,30,0,83,0,696,0,0,2,0,3,0,157,0,213,187,339,137,15
342,2006,Amrawati Region,Washim,4722,190,331,183,77,0,11,0,557,0,3,1,0,2,0,52,2,98,99,395,132,0
343,2006,Nagpur(U) Region,Nagpur,32286,10284,10043,5076,2191,163,227,0,395,0,29,52,0,20,44,977,61,322,505,99,56,62
344,2006,Nagpur(U) Region,Wardha,8446,548,1909,267,90,0,8,0,410,2,0,7,0,2,0,67,0,271,199,369,139,30
345,2006,Nagpur(U) Region,Nagpur(East),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
346,2006,Nagpur(R) Region,Nagpur,11067,5623,4418,540,256,33,44,0,297,293,11,9,0,8,18,508,7,310,159,635,184,82
347,2006,Nagpur(R) Region,Gadchiroli,2792,461,3,99,16,0,3,0,74,0,0,0,0,4,0,18,0,63,17,233,146,0
348,2006,Nagpur(R) Region,Chandrapur,11669,1112,1852,845,148,0,45,0,677,0,3,12,1,7,130,832,6,288,140,621,235,16
349,2006,Nagpur(R) Region,Gondia,5792,975,323,188,32,0,1,0,163,0,3,7,1,1,0,118,1,102,17,343,246,5
350,2006,Nagpur(R) Region,Bhandara,5784,0,455,285,11,0,4,0,101,0,5,3,1,1,111,203,12,109,0,481,194,8
351,2007,Greater Mumbai,Mumbai(C),16176,6490,1,13250,176,0,533,731,0,232,68,0,22,16,0,250,0,541,278,0,1,57
